relative_path,label
好/好2.m4a,healthy
好/好3.m4a,healthy
好/好4.m4a,healthy
好/好5.m4a,healthy
好/好6.m4a,healthy
好/好7.m4a,healthy
好/好8.m4a,healthy
新建3/轴承损伤.m4a,bearing_damage
新建3/轴承损伤2.m4a,bearing_damage
新建3/轴承损伤4.m4a,bearing_damage
新建3/轴承损伤8 (11).m4a,bearing_damage
新建3/轴承损伤8 (13).m4a,bearing_damage
新建3/轴承损伤8 (14).m4a,bearing_damage
新建3/轴承损伤8 (15).m4a,bearing_damage
新建3/轴承损伤8 (16).m4a,bearing_damage
新建3/轴承损伤8 (17).m4a,bearing_damage
新建3/轴承损伤8 (18).m4a,bearing_damage
新建3/轴承损伤8 (19).m4a,bearing_damage
新建3/轴承损伤8 (2).m4a,bearing_damage
新建3/轴承损伤8 (20).m4a,bearing_damage
新建3/轴承损伤8 (3).m4a,bearing_damage
新建3/轴承损伤8 (4).m4a,bearing_damage
新建3/轴承损伤8 (5).m4a,bearing_damage
新建3/轴承损伤8 (6).m4a,bearing_damage
新建3/轴承损伤8 (7).m4a,bearing_damage
新建3/轴承损伤8 (8).m4a,bearing_damage
新建文件夹/轴承损伤1.m4a,bearing_damage
新建文件夹/轴承损伤10.m4a,bearing_damage
新建文件夹/轴承损伤11.m4a,bearing_damage
新建文件夹/轴承损伤12.m4a,bearing_damage
新建文件夹/轴承损伤13.m4a,bearing_damage
新建文件夹/轴承损伤14.m4a,bearing_damage
新建文件夹/轴承损伤15.m4a,bearing_damage
新建文件夹/轴承损伤17.m4a,bearing_damage
新建文件夹/轴承损伤18.m4a,bearing_damage
新建文件夹/轴承损伤19.m4a,bearing_damage
新建文件夹/轴承损伤4.m4a,bearing_damage
新建文件夹/轴承损伤5.m4a,bearing_damage
新建文件夹/轴承损伤7.m4a,bearing_damage
新建文件夹/轴承损伤8.m4a,bearing_damage
新建文件夹/轴承损伤9.m4a,bearing_damage
新建文件夹/间隙2.m4a,clearance
